,quantity
2012-11-22,9598.0
2012-11-23,13985.0
2012-11-24,13547.0
2012-11-25,7139.0
2012-11-26,6246.0
2012-11-27,6252.0
2012-11-28,6903.0
2012-11-29,9375.0
2012-11-30,12768.0
2012-12-01,12694.0
2012-12-02,6642.0
2012-12-03,6075.0
2012-12-04,6291.0
2012-12-05,6108.0
2012-12-06,8269.0
2012-12-07,12072.0
2012-12-08,12882.0
2012-12-09,6073.0
2012-12-10,5117.0
2012-12-11,4053.0
2012-12-12,4173.0
2012-12-13,6184.0
2012-12-14,8710.0
2012-12-15,10856.0
2012-12-16,6058.0
2012-12-17,6836.0
2012-12-18,7237.0
2012-12-19,8335.0
2012-12-20,12545.0
2012-12-21,16714.0
2012-12-22,18388.0
2012-12-23,14643.0
2012-12-24,11531.0
2012-12-25,0.0
2012-12-26,700.0
2012-12-27,8015.0
2012-12-28,12366.0
2012-12-29,11791.0
2012-12-30,7366.0
2012-12-31,8161.0
2013-01-01,2262.0
2013-01-02,10164.0
2013-01-03,9852.0
2013-01-04,12858.0
2013-01-05,12255.0
2013-01-06,6660.0
2013-01-07,6126.0
2013-01-08,5832.0
2013-01-09,7052.0
2013-01-10,9303.0
2013-01-11,12431.0
2013-01-12,11271.0
2013-01-13,6426.0
2013-01-14,5529.0
2013-01-15,6291.0
2013-01-16,7289.0
2013-01-17,9989.0
2013-01-18,6987.0
2013-01-19,9199.0
2013-01-20,5105.0
2013-01-21,5523.0
2013-01-22,6852.0
2013-01-23,6643.0
2013-01-24,7961.0
2013-01-25,8736.0
2013-01-26,8186.0
2013-01-27,4562.0
2013-01-28,3929.0
2013-01-29,4343.0
2013-01-30,5497.0
2013-01-31,7251.0
2013-02-01,8550.0
2013-02-02,7048.0
2013-02-03,4033.0
2013-02-04,3741.0
2013-02-05,3847.0
2013-02-06,4703.0
2013-02-07,5715.0
2013-02-08,7692.0
2013-02-09,7450.0
2013-02-10,4289.0
2013-02-11,4978.0
2013-02-12,6119.0
2013-02-13,11622.0
2013-02-14,16294.0
2013-02-15,6745.0
2013-02-16,7176.0
2013-02-17,4071.0
2013-02-18,4313.0
2013-02-19,4624.0
2013-02-20,5483.0
2013-02-21,6509.0
2013-02-22,8348.0
2013-02-23,7609.0
2013-02-24,4114.0
2013-02-25,4190.0
2013-02-26,4591.0
2013-02-27,5475.0
2013-02-28,7573.0
2013-03-01,8761.0
2013-03-02,7872.0
2013-03-03,5145.0
2013-03-04,5213.0
2013-03-05,5324.0
2013-03-06,6218.0
2013-03-07,8756.0
2013-03-08,17745.0
2013-03-09,30537.0
2013-03-10,14212.0
2013-03-11,3394.0
2013-03-12,3808.0
2013-03-13,4944.0
2013-03-14,6924.0
2013-03-15,7989.0
2013-03-16,8396.0
2013-03-17,4577.0
2013-03-18,4342.0
2013-03-19,4583.0
2013-03-20,4950.0
2013-03-21,6924.0
2013-03-22,7417.0
2013-03-23,6266.0
2013-03-24,4289.0
2013-03-25,4648.0
2013-03-26,4782.0
2013-03-27,6859.0
2013-03-28,12821.0
2013-03-29,12707.0
2013-03-30,15696.0
2013-03-31,2648.0
2013-04-01,4437.0
2013-04-02,4402.0
2013-04-03,4952.0
2013-04-04,6384.0
2013-04-05,7973.0
2013-04-06,7951.0
2013-04-07,4441.0
2013-04-08,4468.0
2013-04-09,4351.0
2013-04-10,5064.0
2013-04-11,6324.0
2013-04-12,8119.0
2013-04-13,7990.0
2013-04-14,4394.0
2013-04-15,4528.0
2013-04-16,4638.0
2013-04-17,5196.0
2013-04-18,6502.0
2013-04-19,9068.0
2013-04-20,8302.0
2013-04-21,4316.0
2013-04-22,4351.0
2013-04-23,4682.0
2013-04-24,5434.0
2013-04-25,7300.0
2013-04-26,9068.0
2013-04-27,8924.0
2013-04-28,5169.0
2013-04-29,5239.0
2013-04-30,5124.0
2013-05-01,5638.0
2013-05-02,7184.0
2013-05-03,9280.0
2013-05-04,9281.0
2013-05-05,5419.0
2013-05-06,4639.0
2013-05-07,5255.0
2013-05-08,5464.0
2013-05-09,6827.0
2013-05-10,9105.0
2013-05-11,8534.0
2013-05-12,4651.0
2013-05-13,5006.0
2013-05-14,4918.0
2013-05-15,5684.0
2013-05-16,7496.0
2013-05-17,9743.0
2013-05-18,8725.0
2013-05-19,4931.0
2013-05-20,4991.0
2013-05-21,5191.0
2013-05-22,5419.0
2013-05-23,7387.0
2013-05-24,9271.0
2013-05-25,9549.0
2013-05-26,4632.0
2013-05-27,3448.0
2013-05-28,4240.0
2013-05-29,4978.0
2013-05-30,6680.0
2013-05-31,8784.0
2013-06-01,8366.0
2013-06-02,5032.0
2013-06-03,4971.0
2013-06-04,4858.0
2013-06-05,6572.0
2013-06-06,6129.0
2013-06-07,9483.0
2013-06-08,9845.0
2013-06-09,3063.0
2013-06-10,1942.0
2013-06-11,3961.0
2013-06-12,5543.0
2013-06-13,6769.0
2013-06-14,7648.0
2013-06-15,8089.0
2013-06-16,5884.0
2013-06-17,3795.0
2013-06-18,4273.0
2013-06-19,5460.0
2013-06-20,6145.0
2013-06-21,7203.0
2013-06-22,8176.0
2013-06-23,3970.0
2013-06-24,3064.0
2013-06-25,4595.0
2013-06-26,5161.0
2013-06-27,7202.0
2013-06-28,7467.0
2013-06-29,7536.0
2013-06-30,4961.0
2013-07-01,4514.0
2013-07-02,4858.0
2013-07-03,5297.0
2013-07-04,7052.0
2013-07-05,8566.0
2013-07-06,7570.0
2013-07-07,4388.0
2013-07-08,4982.0
2013-07-09,4745.0
2013-07-10,5935.0
2013-07-11,6416.0
2013-07-12,7269.0
2013-07-13,6903.0
2013-07-14,4802.0
2013-07-15,4631.0
2013-07-16,4676.0
2013-07-17,5925.0
2013-07-18,7578.0
2013-07-19,9168.0
2013-07-20,7687.0
2013-07-21,5039.0
2013-07-22,5719.0
2013-07-23,6198.0
2013-07-24,6295.0
2013-07-25,7314.0
2013-07-26,8275.0
2013-07-27,7656.0
2013-07-28,4205.0
2013-07-29,3225.0
2013-07-30,3326.0
2013-07-31,5317.0
2013-08-01,6375.0
2013-08-02,7519.0
2013-08-03,7010.0
2013-08-04,4815.0
2013-08-05,2954.0
2013-08-06,3346.0
2013-08-07,3768.0
2013-08-08,6098.0
2013-08-09,7507.0
2013-08-10,7485.0
2013-08-11,4198.0
2013-08-12,4088.0
2013-08-13,4634.0
2013-08-14,5018.0
2013-08-15,6885.0
2013-08-16,8198.0
2013-08-17,7881.0
2013-08-18,5003.0
2013-08-19,4646.0
2013-08-20,4466.0
2013-08-21,5534.0
2013-08-22,7043.0
2013-08-23,8184.0
2013-08-24,7916.0
2013-08-25,5101.0
2013-08-26,4098.0
2013-08-27,5227.0
2013-08-28,4196.0
2013-08-29,4408.0
2013-08-30,6319.0
2013-08-31,5745.0
2013-09-01,2987.0
2013-09-02,2382.0
2013-09-03,2613.0
2013-09-04,3676.0
2013-09-05,5342.0
2013-09-06,6184.0
2013-09-07,5973.0
2013-09-08,1579.0
2013-09-09,2100.0
2013-09-10,3224.0
2013-09-11,3419.0
2013-09-12,5333.0
2013-09-13,6763.0
2013-09-14,6695.0
2013-09-15,3546.0
2013-09-16,4307.0
2013-09-17,4197.0
2013-09-18,4799.0
2013-09-19,5961.0
2013-09-20,6904.0
2013-09-21,6922.0
2013-09-22,3502.0
2013-09-23,3602.0
2013-09-24,3350.0
2013-09-25,4049.0
2013-09-26,5927.0
2013-09-27,7552.0
2013-09-28,7518.0
2013-09-29,3897.0
2013-09-30,4242.0
2013-10-01,4224.0
